LineNum ,,,,,,,,Name,,ReferencedVolume,Diff_Pressure,Leak_Rate
SoftwareRev 5.00,,,,,,,,Description,,"DUTS 1 TO 5, 5 DUTS",,
,,,,,,,,Procedure,,,,
,,,,,,,,Prm1,,FIX01,,
,,,,,,,,Prm2,,Z4,,
,,,,,,,,LowLim,,80,4,-1
,,,,,,,,HighLim,,95,7,1
,,,,,,,,Units,,Percent,PSI,Sccm
Date,Time,Test Time (2),Test Time,Well,Part,Tests Failed,MIS#,Pass/Fail,Fail Test#,,Diff_Pressure,Leak_Rate
2025-07-02,0:32:22,1,21.65,Right,1,0,10001,PASS,,112.069046,4.954883,0.019558
2025-07-02,0:33:00,1,21.65,Right,2,0,10002,PASS,,88.40696,5.575065,0.012293
2025-07-02,0:33:41,1,21.65,Right,3,0,10003,PASS,,88.439713,5.573174,0.012852
2025-07-02,0:34:12,1,21.65,Right,4,0,10004,PASS,,88.238091,5.577961,0.008941
2025-07-02,0:34:41,1,21.65,Right,5,0,10005,PASS,,88.13002,5.581667,0.006147
2025-07-02,0:35:42,2,21.65,Right,1,0,10001,PASS,,111.853172,4.95614,0.013411
2025-07-02,0:36:15,2,21.65,Right,2,0,10002,PASS,,88.332169,5.575046,0.008941
2025-07-02,0:36:52,2,21.65,Right,3,0,10003,PASS,,88.17543,5.57967,0.008941
2025-07-02,0:37:18,2,21.65,Right,4,0,10004,PASS,,88.178596,5.579432,0.006147
2025-07-02,0:37:44,2,21.65,Right,5,0,10005,PASS,,88.097145,5.581742,0.00447
2025-07-02,0:38:22,3,21.65,Right,1,0,10001,PASS,,111.962799,4.95323,0.012293
2025-07-02,0:38:49,3,21.65,Right,2,0,10002,PASS,,88.310539,5.575246,0.007264
2025-07-02,0:39:14,3,21.65,Right,3,0,10003,PASS,,88.24791,5.576839,0.006706
2025-07-02,0:39:43,3,21.65,Right,4,0,10004,PASS,,88.234207,5.577388,0.001118
2025-07-02,0:40:09,3,21.65,Right,5,0,10005,PASS,,88.006119,5.584383,0.001676
2025-07-02,0:32:22,1,21.65,Left,1,0,10001,PASS,,112.069046,1,0.019558
2025-07-02,0:33:00,1,21.65,Left,2,0,10002,PASS,,88.40696,5.575065,0.012293
2025-07-02,0:33:41,1,21.65,Left,3,0,10003,PASS,,88.439713,5.573174,0.012852
2025-07-02,0:34:12,1,21.65,Left,4,0,10004,PASS,,88.238091,5.577961,0.008941
2025-07-02,0:34:41,1,21.65,Left,5,0,10005,PASS,,88.13002,5.581667,0.006147
2025-07-02,0:35:42,2,21.65,Left,1,0,10001,PASS,,111.853172,4.95614,0.013411
2025-07-02,0:36:15,2,21.65,Left,2,0,10002,PASS,,88.332169,5.575046,0.008941
2025-07-02,0:36:52,2,21.65,Left,3,0,10003,PASS,,88.17543,5.57967,0.008941
2025-07-02,0:37:18,2,21.65,Left,4,0,10004,PASS,,88.178596,5.579432,0.006147
2025-07-02,0:37:44,2,21.65,Left,5,0,10005,PASS,,88.097145,5.581742,0.00447
2025-07-02,0:38:22,3,21.65,Left,1,0,10001,PASS,,111.962799,4.95323,0.012293
2025-07-02,0:38:49,3,21.65,Left,2,0,10002,PASS,,88.310539,5.575246,0.007264
2025-07-02,0:39:14,3,21.65,Left,3,0,10003,PASS,,88.24791,5.576839,0.006706
2025-07-02,0:39:43,3,21.65,Left,4,0,10004,PASS,,88.234207,5.577388,0.001118
2025-07-02,0:40:09,3,21.65,Left,5,0,10005,PASS,,88.006119,5.584383,0.001676
